value,anomaly_score,label
-5.83,0.0,1
-5.825,0.0,1
-5.82,0.0,1
-5.82,0.0,1
-5.815,0.0,1
-5.81,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.795,0.0,1
-5.79,0.0,1
-5.785,0.0,1
-5.77,0.0,1
-5.76,0.0,1
-5.74,0.0,1
-5.73,0.0,1
-5.73,0.0,1
-5.72,0.0,1
-5.72,0.0,1
-5.725,0.0,1
-5.72,0.0,1
-5.71,0.0,1
-5.69,0.0,1
-5.66,0.0,1
-5.65,0.0,1
-5.655,0.0,1
-5.66,0.0,1
-5.65,0.0,1
-5.645,0.0,1
-5.655,0.0,1
-5.67,0.0,1
-5.69,0.0,1
-5.715,0.0,1
-5.73,0.0,1
-5.75,0.0,1
-5.765,0.0,1
-5.785,0.0,1
-5.805,0.0,1
-5.82,0.0,1
-5.825,0.0,1
-5.83,0.0,1
-5.825,0.0,1
-5.835,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.845,0.0,1
-5.845,0.0,1
-5.855,0.0,1
-5.86,0.0,1
-5.88,0.0,1
-5.885,0.0,1
-5.82,0.0,1
-5.695,0.0,1
-5.55,0.0,1
-5.36,0.0,1
-5.045,0.0,1
-4.645,0.0,1
-4.295,0.0,1
-4.095,0.0,1
-4.04,0.0,1
-4.11,0.0,1
-4.34,0.0,1
-4.65,0.0,1
-5.06,0.0,1
-5.515,0.0,1
-5.925,0.0,1
-6.18,0.0,1
-6.27,0.0,1
-6.265,0.0,1
-6.255,0.0,1
-6.25,0.0,1
-6.22,0.0,1
-6.16,0.0,1
-6.1,0.0,1
-6.05,0.0,1
-6.035,0.0,1
-6.02,0.0,1
-6.01,0.0,1
-6.0,0.0,1
-6.0,0.0,1
-5.995,0.0,1
-5.995,0.0,1
-5.995,0.0,1
-5.99,0.0,1
-5.99,0.0,1
-5.985,0.0,1
-5.98,0.0,1
-5.98,0.0,1
-5.98,0.0,1
-5.965,0.0,1
-5.955,0.0,1
-5.935,0.0,1
-5.92,0.0,1
-5.905,0.0,1
-5.885,0.0,1
-5.865,0.0,1
-5.84,0.0,1
-5.815,0.0,1
-5.785,0.0,1
-5.76,0.0,1
-5.725,0.0,1
-5.69,0.0,1
-5.655,0.0,1
-5.625,0.0,1
-5.6,0.0,1
-5.575,0.0,1
-5.54,0.0,1
-5.52,0.0,1
-5.5,0.0,1
-5.485,0.0,1
-5.48,0.0,1
-5.47,0.0,1
-5.465,0.0,1
-5.47,0.0,1
-5.48,0.0,1
-5.485,0.0,1
-5.5,0.0,1
-5.52,0.0,1
-5.54,0.0,1
-5.565,0.0,1
-5.595,0.0,1
-5.615,0.0,1
-5.625,0.0,1
-5.645,0.0,1
-5.67,0.0,1
-5.69,0.0,1
-5.705,0.0,1
-5.72,0.0,1
-5.735,0.0,1
-5.745,0.0,1
-5.76,0.0,1
-5.775,0.0,1
-5.785,0.0,1
-5.79,0.0,1
-5.8,0.0,1
-5.805,0.0,1
-5.815,0.0,1
-5.82,0.0,1
-5.825,0.0,1
-5.835,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.835,0.0,1
-5.83,0.0,1
-5.83,0.0,1
-5.825,0.0,1
-5.825,0.0,1
-5.825,0.0,1
-5.82,0.0,1
-5.805,0.0,1
-5.8,0.0,1
-5.795,0.0,1
-5.78,0.0,1
-5.775,0.0,1
-5.76,0.0,1
-5.745,0.0,1
-5.745,0.0,1
-5.73,0.0,1
-5.735,0.0,1
-5.74,0.0,1
-5.73,0.0,1
-5.715,0.0,1
-5.695,0.0,1
-5.68,0.0,1
-5.68,0.0,1
-5.69,0.0,1
-5.69,0.0,1
-5.69,0.0,1
-5.695,0.0,1
-5.71,0.0,1
-5.72,0.0,1
-5.735,0.0,1
-5.75,0.0,1
-5.765,0.0,1
-5.775,0.0,1
-5.79,0.0,1
-5.81,0.0,1
-5.83,0.0,1
-5.84,0.0,1
-5.845,0.0,1
-5.855,0.0,1
-5.86,0.0,1
-5.86,0.0,1
-5.86,0.0,1
-5.875,0.0,1
-5.895,0.0,1
-5.905,0.0,1
-5.93,0.0,1
-5.945,0.0,1
-5.945,0.0,1
-5.93,0.0,1
-5.85,0.0,1
-5.72,0.0,1
-5.52,0.0,1
-5.305,0.0,1
-5.055,0.0,1
-4.715,0.0,1
-4.34,0.0,1
-4.065,0.0,1
-3.955,0.0,1
-3.93,0.0,1
-3.975,0.0,1
-4.185,0.0,1
-4.56,0.0,1
-5.04,0.0,1
-5.505,0.0,1
-5.92,0.0,1
-6.16,0.0,1
-6.245,0.0,1
-6.25,0.0,1
-6.24,0.0,1
-6.225,0.0,1
-6.2,0.0,1
-6.175,0.0,1
-6.145,0.0,1
-6.115,0.0,1
-6.095,0.0,1
-6.095,0.0,1
-6.095,0.0,1
-6.095,0.0,1
-6.095,0.0,1
-6.1,0.0,1
-6.1,0.0,1
-6.095,0.0,1
-6.095,0.0,1
-6.1,0.0,1
-6.105,0.0,1
-6.105,0.0,1
-6.115,0.0,1
-6.105,0.0,1
-6.1,0.0,1
-6.095,0.0,1
-6.09,0.0,1
-6.08,0.0,1
-6.075,0.0,1
-6.065,0.0,1
-6.06,0.0,1
-6.035,0.0,1
-6.015,0.0,1
-6.0,0.0,1
-5.975,0.0,1
-5.955,0.0,1
-5.92,0.0,1
-5.89,0.0,1
-5.865,0.0,1
-5.83,0.0,1
-5.805,0.0,1
-5.775,0.0,1
-5.75,0.0,1
-5.725,0.0,1
-5.705,0.0,1
-5.695,0.0,1
-5.68,0.0,1
-5.67,0.0,1
-5.655,0.0,1
-5.64,0.0,1
-5.635,0.0,1
-5.635,0.0,1
-5.64,0.0,1
-5.64,0.0,1
-5.64,0.0,1
-5.65,0.0,1
-5.66,0.0,1
-5.68,0.0,1
-5.7,0.0,1
-5.71,0.0,1
-5.71,0.0,1
-5.715,0.0,1
-5.72,0.0,1
-5.73,0.0,1
-5.735,0.0,1
-5.74,0.0,1
-5.77,0.0,1
-5.78,0.0,1
-5.775,0.0,1
-5.78,0.0,1
-5.79,0.0,1
-5.785,0.0,1
-5.79,0.0,1
-5.8,0.0,1
-5.81,0.0,1
-5.815,0.0,1
-5.8,0.0,1
-5.805,0.0,1
-5.815,0.0,1
-5.82,0.0,1
-5.82,0.0,1
-5.82,0.0,1
-5.825,0.0,1
-5.82,0.0,1
-5.83,0.0,1
-5.83,0.0,1
-5.82,0.0,1
-5.81,0.0,1
-5.815,0.0,1
-5.82,0.0,1
-5.82,0.0,1
-5.815,0.0,1
-5.815,0.0,1
-5.8,0.0,1
-5.79,0.0,1
-5.78,0.0,1
-5.77,0.0,1
-5.76,0.0,1
-5.755,0.0,1
-5.76,0.0,1
-5.765,0.0,1
-5.76,0.0,1
-5.76,0.0,1
-5.75,0.0,1
-5.74,0.0,1
-5.72,0.0,1
-5.7,0.0,1
-5.69,0.0,1
-5.695,0.0,1
-5.7,0.0,1
-5.695,0.0,1
-5.7,0.0,1
-5.71,0.0,1
-5.71,0.0,1
-5.72,0.0,1
-5.735,0.0,1
-5.755,0.0,1
-5.775,0.0,1
-5.79,0.0,1
-5.8,0.0,1
-5.825,0.0,1
-5.84,0.0,1
-5.845,0.0,1
-5.85,0.0,1
-5.86,0.0,1
-5.875,0.0,1
-5.865,0.0,1
-5.86,0.0,1
-5.855,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.84,0.0,1
-5.835,0.0,1
-5.855,0.0,1
-5.855,0.0,1
-5.815,0.0,1
-5.695,0.0,1
-5.555,0.0,1
-5.345,0.0,1
-5.015,0.0,1
-4.62,0.0,1
-4.265,0.0,1
-4.055,0.0,1
-3.985,0.0,1
-4.0,0.0,1
-4.175,0.0,1
-4.455,0.0,1
-4.87,0.0,1
-5.32,0.0,1
-5.775,0.0,1
-6.1,0.0,1
-6.245,0.0,1
-6.245,0.0,1
-6.245,0.0,1
-6.245,0.0,1
-6.245,0.0,1
-6.21,0.0,1
-6.155,0.0,1
-6.105,0.0,1
-6.07,0.0,1
-6.065,0.0,1
-6.06,0.0,1
-6.045,0.0,1
-6.02,0.0,1
-6.01,0.0,1
-6.005,0.0,1
-6.015,0.0,1
-6.015,0.0,1
-6.01,0.0,1
-6.01,0.0,1
-6.01,0.0,1
-6.01,0.0,1
-6.0,0.0,1
-5.985,0.0,1
-5.98,0.0,1
-5.975,0.0,1
-5.96,0.0,1
-5.96,0.0,1
-5.94,0.0,1
-5.905,0.0,1
-5.875,0.0,1
-5.865,0.0,1
-5.825,0.0,1
-5.77,0.0,1
-5.73,0.0,1
-5.69,0.0,1
-5.655,0.0,1
-5.62,0.0,1
-5.61,0.0,1
-5.585,0.0,1
-5.57,0.0,1
-5.55,0.0,1
-5.52,0.0,1
-5.485,0.0,1
-5.465,0.0,1
-5.46,0.0,1
-5.465,0.0,1
-5.48,0.0,1
-5.5,0.0,1
-5.52,0.0,1
-5.53,0.0,1
-5.55,0.0,1
-5.565,0.0,1
-5.575,0.0,1
-5.595,0.0,1
-5.61,0.0,1
-5.635,0.0,1
-5.66,0.0,1
-5.695,0.0,1
-5.72,0.0,1
-5.725,0.0,1
-5.75,0.0,1
-5.76,0.0,1
-5.775,0.0,1
-5.785,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.81,0.0,1
-5.81,0.0,1
-5.825,0.0,1
-5.845,0.0,1
-5.865,0.0,1
-5.87,0.0,1
-5.86,0.0,1
-5.87,0.0,1
-5.865,0.0,1
-5.875,0.0,1
-5.87,0.0,1
-5.875,0.0,1
-5.88,0.0,1
-5.87,0.0,1
-5.86,0.0,1
-5.85,0.0,1
-5.845,0.0,1
-5.84,0.0,1
-5.83,0.0,1
-5.82,0.0,1
-5.81,0.0,1
-5.81,0.0,1
-5.805,0.0,1
-5.805,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.795,0.0,1
-5.785,0.0,1
-5.76,0.0,1
-5.75,0.0,1
-5.75,0.0,1
-5.745,0.0,1
-5.755,0.0,1
-5.755,0.0,1
-5.74,0.0,1
-5.72,0.0,1
-5.705,0.0,1
-5.69,0.0,1
-5.69,0.0,1
-5.7,0.0,1
-5.715,0.0,1
-5.715,0.0,1
-5.715,0.0,1
-5.72,0.0,1
-5.74,0.0,1
-5.76,0.0,1
-5.78,0.0,1
-5.795,0.0,1
-5.815,0.0,1
-5.835,0.0,1
-5.86,0.0,1
-5.89,0.0,1
-5.89,0.0,1
-5.88,0.0,1
-5.885,0.0,1
-5.885,0.0,1
-5.89,0.0,1
-5.895,0.0,1
-5.885,0.0,1
-5.885,0.0,1
-5.88,0.0,1
-5.875,0.0,1
-5.87,0.0,1
-5.88,0.0,1
-5.895,0.0,1
-5.9,0.0,1
-5.855,0.0,1
-5.735,0.0,1
-5.595,0.0,1
-5.4,0.0,1
-5.105,0.0,1
-4.71,0.0,1
-4.34,0.0,1
-4.105,0.0,1
-4.01,0.0,1
-4.02,0.0,1
-4.2,0.0,1
-4.505,0.0,1
-4.935,0.0,1
-5.395,0.0,1
-5.84,0.0,1
-6.15,0.0,1
-6.25,0.0,1
-6.24,0.0,1
-6.24,0.0,1
-6.235,0.0,1
-6.215,0.0,1
-6.17,0.0,1
-6.12,0.0,1
-6.085,0.0,1
-6.075,0.0,1
-6.065,0.0,1
-6.06,0.0,1
-6.055,0.0,1
-6.055,0.0,1
-6.055,0.0,1
-6.05,0.0,1
-6.045,0.0,1
-6.035,0.0,1
-6.03,0.0,1
-6.025,0.0,1
-6.015,0.0,1
-6.015,0.0,1
-6.005,0.0,1
-6.0,0.0,1
-5.99,0.0,1
-5.99,0.0,1
-5.97,0.0,1
-5.955,0.0,1
-5.94,0.0,1
-5.915,0.0,1
-5.885,0.0,1
-5.865,0.0,1
-5.84,0.0,1
-5.8,0.0,1
-5.765,0.0,1
-5.725,0.0,1
-5.68,0.0,1
-5.635,0.0,1
-5.615,0.0,1
-5.58,0.0,1
-5.56,0.0,1
-5.545,0.0,1
-5.52,0.0,1
-5.515,0.0,1
-5.505,0.0,1
-5.51,0.0,1
-5.505,0.0,1
-5.5,0.0,1
-5.51,0.0,1
-5.52,0.0,1
-5.54,0.0,1
-5.55,0.0,1
-5.565,0.0,1
-5.58,0.0,1
-5.6,0.0,1
-5.62,0.0,1
-5.64,0.0,1
-5.665,0.0,1
-5.69,0.0,1
-5.71,0.0,1
-5.725,0.0,1
-5.74,0.0,1
-5.755,0.0,1
-5.765,0.0,1
-5.775,0.0,1
-5.78,0.0,1
-5.79,0.0,1
-5.8,0.0,1
-5.81,0.0,1
-5.815,0.0,1
-5.81,0.0,1
-5.815,0.0,1
-5.82,0.0,1
-5.835,0.0,1
-5.835,0.0,1
-5.835,0.0,1
-5.835,0.0,1
-5.835,0.0,1
-5.83,0.0,1
-5.825,0.0,1
-5.82,0.0,1
-5.81,0.0,1
-5.81,0.0,1
-5.805,0.0,1
-5.805,0.0,1
-5.8,0.0,1
-5.795,0.0,1
-5.785,0.0,1
-5.77,0.0,1
-5.76,0.0,1
-5.76,0.0,1
-5.76,0.0,1
-5.745,0.0,1
-5.735,0.0,1
-5.725,0.0,1
-5.715,0.0,1
-5.695,0.0,1
-5.685,0.0,1
-5.68,0.0,1
-5.68,0.0,1
-5.68,0.0,1
-5.68,0.0,1
-5.67,0.0,1
-5.65,0.0,1
-5.63,0.0,1
-5.625,0.0,1
-5.635,0.0,1
-5.635,0.0,1
-5.635,0.0,1
-5.635,0.0,1
-5.64,0.0,1
-5.66,0.0,1
-5.68,0.0,1
-5.7,0.0,1
-5.715,0.0,1
-5.725,0.0,1
-5.74,0.0,1
-5.76,0.0,1
-5.78,0.0,1
-5.795,0.0,1
-5.805,0.0,1
-5.825,0.0,1
-5.845,0.0,1
-5.865,0.0,1
-5.895,0.0,1
-5.92,0.0,1
-5.925,0.0,1
-5.885,0.0,1
-5.805,0.0,1
-5.705,0.0,1
-5.58,0.0,1
-5.425,0.0,1
-5.23,0.0,1
-4.97,0.0,1
-4.65,0.0,1
-4.36,0.0,1
-4.14,0.0,1
-4.0,0.0,1
-3.94,0.0,1
-3.96,0.0,1
-4.075,0.0,1
-4.34,0.0,1
-4.8,0.0,1
-5.27,0.0,1
-5.64,0.0,1
-5.835,0.0,1
-6.005,0.0,1
-6.13,0.0,1
-6.2,0.0,1
-6.215,0.0,1
-6.165,0.0,1
-6.075,0.0,1
-6.025,0.0,1
-6.005,0.0,1
-6.005,0.0,1
-6.005,0.0,1
-6.005,0.0,1
-6.005,0.0,1
-6.015,0.0,1
-6.015,0.0,1
-6.02,0.0,1
-6.025,0.0,1
-6.035,0.0,1
-6.045,0.0,1
-6.045,0.0,1
-6.05,0.0,1
-6.05,0.0,1
-6.055,0.0,1
-6.06,0.0,1
-6.065,0.0,1
-6.065,0.0,1
-6.07,0.0,1
-6.07,0.0,1
-6.065,0.0,1
-6.065,0.0,1
-6.055,0.0,1
-6.045,0.0,1
-6.035,0.0,1
-6.01,0.0,1
-5.99,0.0,1
-5.965,0.0,1
-5.935,0.0,1
-5.905,0.0,1
-5.88,0.0,1
-5.85,0.0,1
-5.825,0.0,1
-5.795,0.0,1
-5.76,0.0,1
-5.735,0.0,1
-5.7,0.0,1
-5.68,0.0,1
-5.66,0.0,1
-5.64,0.0,1
-5.635,0.0,1
-5.625,0.0,1
-5.625,0.0,1
-5.615,0.0,1
-5.61,0.0,1
-5.615,0.0,1
-5.615,0.0,1
-5.62,0.0,1
-5.615,0.0,1
-5.625,0.0,1
-5.63,0.0,1
-5.635,0.0,1
-5.64,0.0,1
-5.655,0.0,1
-5.66,0.0,1
-5.67,0.0,1
-5.68,0.0,1
-5.69,0.0,1
-5.7,0.0,1
-5.715,0.0,1
-5.72,0.0,1
-5.735,0.0,1
-5.74,0.0,1
-5.75,0.0,1
-5.755,0.0,1
-5.76,0.0,1
-5.765,0.0,1
-5.775,0.0,1
-5.785,0.0,1
-5.795,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.795,0.0,1
-5.795,0.0,1
-5.79,0.0,1
-5.785,0.0,1
-5.785,0.0,1
-5.78,0.0,1
-5.78,0.0,1
-5.77,0.0,1
-5.77,0.0,1
-5.76,0.0,1
-5.755,0.0,1
-5.74,0.0,1
-5.73,0.0,1
-5.72,0.0,1
-5.705,0.0,1
-5.695,0.0,1
-5.69,0.0,1
-5.69,0.0,1
-5.7,0.0,1
-5.69,0.0,1
-5.68,0.0,1
-5.655,0.0,1
-5.635,0.0,1
-5.62,0.0,1
-5.625,0.0,1
-5.63,0.0,1
-5.63,0.0,1
-5.63,0.0,1
-5.635,0.0,1
-5.645,0.0,1
-5.665,0.0,1
-5.685,0.0,1
-5.7,0.0,1
-5.725,0.0,1
-5.75,0.0,1
-5.76,0.0,1
-5.79,0.0,1
-5.805,0.0,1
-5.81,0.0,1
-5.81,0.0,1
-5.815,0.0,1
-5.815,0.0,1
-5.815,0.0,1
-5.81,0.0,1
-5.805,0.0,1
-5.8,0.0,1
-5.8,0.0,1
-5.805,0.0,1
-5.805,0.0,1
-5.805,0.0,1
-5.825,0.0,1
-5.835,0.0,1
-5.785,0.0,1
-5.665,0.0,1
